AABBCcDDEEFFgghh,650615904713871043653256208845786282307488086753280.00000000
AABBCcDDEEFfGGHH,257944810584381314243585862765889644920832.00000000
AABBCcDDEEFfGGHh,351123115966963493036012047346048666087456768.00000000
AABBCcDDEEFfGGhh,477960546238703073718944485978412115190744088576.00000000
AABBCcDDEEFfGgHH,351123115966963493036012047346048666087456768.00000000
AABBCcDDEEFfGgHh,477960546238703073718944485978412115190744088576.00000000
AABBCcDDEEFfGghh,650615904713871043653256208845786282307488086753280.00000000
AABBCcDDEEFfggHH,477960546238703073718944485978412115190744088576.00000000
AABBCcDDEEFfggHh,650615904713871043653256208845786282307488086753280.00000000
AABBCcDDEEFfgghh,885640161720051107401911680385584861389685367880286208.00000000
AABBCcDDEEffGGHH,351123115966963493036012047346048666087456768.00000000
AABBCcDDEEffGGHh,477960546238703073718944485978412115190744088576.00000000
AABBCcDDEEffGGhh,650615904713871043653256208845786282307488086753280.00000000
AABBCcDDEEffGgHH,477960546238703073718944485978412115190744088576.00000000
AABBCcDDEEffGgHh,650615904713871043653256208845786282307488086753280.00000000
AABBCcDDEEffGghh,885640161720051107401911680385584861389685367880286208.00000000
AABBCcDDEEffggHH,650615904713871043653256208845786282307488086753280.00000000
AABBCcDDEEffggHh,885640161720051107401911680385584861389685367880286208.00000000
AABBCcDDEEffgghh,1205563052437927582307506011641846703062375749643719933952.00000000
AABBCcDDEeFFGGHH,257944810584381314243585862765889644920832.00000000
AABBCcDDEeFFGGHh,351123115966963493036012047346048666087456768.00000000
AABBCcDDEeFFGGhh,477960546238703073718944485978412115190744088576.00000000
AABBCcDDEeFFGgHH,351123115966963493036012047346048666087456768.00000000
AABBCcDDEeFFGgHh,477960546238703073718944485978412115190744088576.00000000
AABBCcDDEeFFGghh,650615904713871043653256208845786282307488086753280.00000000
AABBCcDDEeFFggHH,477960546238703073718944485978412115190744088576.00000000
AABBCcDDEeFFggHh,650615904713871043653256208845786282307488086753280.00000000
AABBCcDDEeFFgghh,885640161720051107401911680385584861389685367880286208.00000000
AABBCcDDEeFfGGHH,351123115966963493036012047346048666087456768.00000000
AABBCcDDEeFfGGHh,477960546238703073718944485978412115190744088576.00000000
AABBCcDDEeFfGGhh,650615904713871043653256208845786282307488086753280.00000000
AABBCcDDEeFfGgHH,477960546238703073718944485978412115190744088576.00000000
AABBCcDDEeFfGgHh,650615904713871043653256208845786282307488086753280.00000000
AABBCcDDEeFfGghh,885640161720051107401911680385584861389685367880286208.00000000
AABBCcDDEeFfggHH,650615904713871043653256208845786282307488086753280.00000000
AABBCcDDEeFfggHh,885640161720051107401911680385584861389685367880286208.00000000
AABBCcDDEeFfgghh,1205563052437927582307506011641846703062375749643719933952.00000000
AABBCcDDEeffGGHH,477960546238703073718944485978412115190744088576.00000000
AABBCcDDEeffGGHh,650615904713871043653256208845786282307488086753280.00000000
AABBCcDDEeffGGhh,885640161720051107401911680385584861389685367880286208.00000000
AABBCcDDEeffGgHH,650615904713871043653256208845786282307488086753280.00000000
AABBCcDDEeffGgHh,885640161720051107401911680385584861389685367880286208.00000000
AABBCcDDEeffGghh,1205563052437927582307506011641846703062375749643719933952.00000000
AABBCcDDEeffggHH,885640161720051107401911680385584861389685367880286208.00000000
AABBCcDDEeffggHh,1205563052437927582307506011641846703062375749643719933952.00000000
AABBCcDDEeffgghh,1641052807023519319287183638868357361472405819098578085216256.00000000
AABBCcDDeeFFGGHH,351123115966963493036012047346048666087456768.00000000
AABBCcDDeeFFGGHh,477960546238703073718944485978412115190744088576.00000000
AABBCcDDeeFFGGhh,650615904713871043653256208845786282307488086753280.00000000
AABBCcDDeeFFGgHH,477960546238703073718944485978412115190744088576.00000000
AABBCcDDeeFFGgHh,650615904713871043653256208845786282307488086753280.00000000
AABBCcDDeeFFGghh,885640161720051107401911680385584861389685367880286208.00000000
AABBCcDDeeFFggHH,650615904713871043653256208845786282307488086753280.00000000
AABBCcDDeeFFggHh,885640161720051107401911680385584861389685367880286208.00000000
